Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
design draftsperson,"Posted on March 21, 2024",ENSEIGNES MONTREAL NEON INC.,"Laval, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40584507?source=searchresults
"pathologist, speech","Posted on March 13, 2024",CISSS DE LA MONTÉRÉGIE-EST,"Saint-Hyacinthe, QC",27.46 HOUR,35 hours per week,Term or contractFull time,,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40501037?source=searchresults
plant cleaner,"Posted on March 16, 2024",Valoris,"Bury, QC",19.40 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40531401?source=searchresults
design draftsperson,"Posted on March 22, 2024",Gestion industrielle Maintenance Man Inc.,"Blainville, QC",26.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40586028?source=searchresults
home health care worker,"Posted on February 01, 2024",Paolina Argento,"Baie-d'Urfé, QC",15.25 HOUR,40 hours per week,Term or contractFull time,Starts as soon as possible,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Administer bedside and personal care, Administer medications, Assist clients with bathing and other aspects of personal hygiene, Feed or assist in feeding, Launder clothing and household linens, Perform light housekeeping and cleaning duties, Provide companionship, Provide personal care, Prepare and serve nutritious meals",,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40179999?source=searchresults
electrical mechanic,"Posted on March 09, 2024",Coopérative Forestière Ferland-Boilleau,"Saguenay, QC",26.73 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40464967?source=searchresults
demolition worker,"Posted on March 04, 2024",Michel Gamache & Frères inc.,"L'Islet, QC",37.16 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40423650?source=searchresults
drug addiction worker,"Posted on March 13, 2024",Maison Jean Lapointe inc.,"Montréal, QC",20.67 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504938?source=searchresults
awning installer helper,"Posted on March 25, 2024",Grandchamp Chapiteaux inc.,"Le Gardeur, QC",22.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,5 vacancies,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40617134?source=searchresults
administrative assistant,"Posted on March 20, 2024",MINISTÈRE DE LA SECURITE PUBLIQUE,"Shawinigan, QC",18.65 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40567761?source=searchresults
"broker, insurance","Posted on March 18, 2024",DIANE EGAN LANGEVIN EMPLOI RECRUTEMENT ET ASSOCIÉS INC.,"Laval, QC","65,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550087?source=searchresults
elemental worker - packaging,"Posted on March 18, 2024",Clôture Provinciale inc.,"Saint-Augustin-de-Desmaures, QC",22.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40545872?source=searchresults
home child care provider,"Posted on March 05, 2024",CHERILYN RAMBAUD,"Cote-Saint-Luc, QC",17.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Secondary (high) school graduation certificate

or equivalent experience",1 to less than 7 months,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Shop for food and household supplies, Travel with family on trips and assist with child supervision and housekeeping duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Supervise and care for children, Take children to and from school and to appointments, Tend to emotional well-being of children, Help children with homework",,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40431548?source=searchresults
legal advocate,"Posted on March 09, 2024",dupuis,"Saint-Léonard, QC","67,812 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40464972?source=searchresults
administrative coordinator,"Posted on March 06, 2024",AGENCE DE PERSONNEL ABITIBI   INC,"Val-d'Or, QC",28.00 HOUR,20 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40441235?source=searchresults
architect,"Posted on December 22, 2023",Atelier Bouré Therrien Architectes Inc,"Rosemère, QC",27.00 HOUR,38 hours per week,Permanent employmentFull time,,1 vacancy,French,Bachelor's degree,5 years or more,"Consult with clients to determine the type, style and purpose of renovations or new building construction being considered, Project management, Conceptualize and design buildings and develop plans describing design specifications, building materials, costs and construction schedules, Office management, Urban planning, Construction site supervision, Prepare sketches and models, Perform architectural research, Prepare or supervise the preparation of drawings, specifications and other construction documents for use by contractors and tradespersons, Conduct feasibility studies of building projects, Supervision of technologists, technicians and other architects, Estimate costs, Financial and budget administration, Prepare bidding documents, participate in contract negotiations and award construction contracts, Proposal preparation, Tender and administer contracts, Write plans describing project specifications and construction schedules, Interior design (general), Monitor activities on construction sites to ensure compliance with specifications, Conduct feasibility studies and financial analyses of building projects, Staff in various areas of responsibility","Disability benefits, Health care plan, Paramedical services coverage, Life insurance, Free parking available, Paid time off (volunteering or personal days)",4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39853293?source=searchresults
construction labourer and helper,"Posted on March 14, 2024",9041-0960 QUEBEC INC.,"Trois-Rivières, QC",22 WEEKLY,20 hours per week,Seasonal employmentPart time,,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40513622?source=searchresults
medical secretary,"Posted on March 20, 2024",CLINIQUE POIRIER CENTRE DENTAIRE INC.,"Salaberry-de-Valleyfield, QC",21.00 HOUR,34 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40567801?source=searchresults
building inspector,"Posted on March 11, 2024",MUNICIPALITE DE LA CONCEPTION,"La Conception, QC",30.29 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480106?source=searchresults
early childhood educator (ECE),"Posted on January 01, 2024",Cpe Le Baluchon inc,"Gatineau, QC",17.92 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,French,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",Experience an asset,,"Dental plan, Disability benefits, Health care plan, Paramedical services coverage, As per collective agreement, Registered Retirement Savings Plan (RRSP), Long-term care insurance, Maternity and parental benefits, Free parking available, Paid time off (volunteering or personal days), Parking available",4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39915037?source=searchresults
nurseryman/woman,"Posted on March 25, 2024",Ministère des Ressources naturelles et des Forêts,"Grandes-Piles, QC",23.22 HOUR,,Seasonal employmentFull time,Starts as soon as possible,20 vacancies,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616833?source=searchresults
legal technician,"Posted on March 27, 2024",MINISTERE DES RESSOURCES NATURELLES ET DES FORÊTS,"Québec, QC",20.97 HOUR,35 hours per week,Casual employmentFull time,,2 vacancies,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40643870?source=searchresults
"design engineer, electrical","Posted on March 19, 2024",Kopers,"Victoriaville, QC",25.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40558327?source=searchresults
tree pruner - landscaping,"Posted on March 28, 2024",Ville de Saint-Eustache,"Saint-Eustache, QC",28.88 HOUR,,Seasonal employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649576?source=searchresults
live-in caregiver - seniors,"Posted on March 14, 2024",MARITES MANUEL,"Laval, QC",15.25 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Secondary (high) school graduation certificate

or equivalent experience",1 year to less than 2 years,"Administer medications, Feed or assist in feeding, Launder clothing and household linens, Mend clothing and linens, Perform light housekeeping and cleaning duties, Provide personal care, Prepare and serve nutritious meals, Cook",,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40512651?source=searchresults
daycare teacher,"Posted on March 25, 2024",Garderie Éducative Hakuna Ma-Ta-Ta inc.,"Montréal, QC",16.00 HOUR,,Part time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40620311?source=searchresults
labourer - food and beverage processing,"Posted on January 04, 2024",Agence de recrutement et de placement des employés Iris Inc.,"Saint-André-d'Argenteuil, QC",16.00 HOUR,40 to 46 hours per week,Term or contractFull time,Starts as soon as possible,2 vacancies,French,Secondary (high) school graduation certificate,3 years to less than 5 years,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40196215?source=searchresults
instructor - vocational school,"Posted on March 13, 2024",Centre de Formation 3L,"Terrebonne, QC",30.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40506417?source=searchresults
shop clerk,"Posted on March 12, 2024",LES MAGASINS KORVETTE LTEE,"Marieville, QC",15.50 HOUR,20 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40492994?source=searchresults
automobile mechanic,"Posted on February 22, 2024",Les Entreprises L. & C. Jolibois Inc.,"Drummondville, QC",22.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,Registered Apprenticeship certificate,5 years or more,"Inspect and test mechanical units to locate faults and malfunctions, Inspect motor in operation, road test motor vehicles and test automotive systems and components, Adjust, repair or replace parts and components of automotive systems, Diagnose faults and malfunctions, Repair or replace mechanical units or components, Test and adjust repaired systems to manufacturer's specifications, Estimate parts and labour cost to perform vehicle maintenance and repairs, Perform scheduled maintenance service, Test and adjust units to specifications, Advise customers on work performed and future repair requirements, Complete reports to record problems and work performed, Coach and instruct apprentices, Review work orders and discuss work with supervisor",,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40344190?source=searchresults
dietitian-nutritionist,"Posted on March 21, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Victoriaville, QC",27.62 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40578480?source=searchresults
medical orderly,"Posted on March 08, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Fortierville, QC",25.63 HOUR,35 hours per week,Permanent employmentFull time,,5 vacancies,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40458544?source=searchresults
cabinetmaker,"Posted on February 16, 2024",RB Tek Concept,"Saint-Romuald, QC",19.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,10 vacancies,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Sort, pack, crate and package materials and products, Perform other labouring and elemental activities, Clean machines and immediate work areas, Assist machine operators, assemblers and other workers, Transport raw materials, finished products and equipment throughout plant manually or using powered equipment","Disability benefits, Health care plan, Bonus, Life insurance, Pension plan, Free parking available, Other benefits",4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40301710?source=searchresults
parts clerk,"Posted on March 11, 2024",Remorques Dionne,"Saint-Jean-sur-Richelieu, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480128?source=searchresults
heavy-duty equipment operator,"Posted on March 06, 2024",Les entreprises L. Laporte de Bayonne inc. - Drainage Laporte,"Sainte-Élisabeth-de-Warwick, QC",25.00 HOUR,,Seasonal employmentFull time,Starts as soon as possible,3 vacancies,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40437953?source=searchresults
nanny,"Posted on February 15, 2024",Simcha Wenger,"Montréal, QC",15.25 HOUR,40 hours per week,Term or contract (ending: 2026-04-15)Full time,,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Shop for food and household supplies, Travel with family on trips and assist with child supervision and housekeeping duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Sterilize bottles, prepare formulas and change diapers for infants, Supervise and care for children, Take children to and from school and to appointments, Tend to emotional well-being of children",,4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40291309?source=searchresults
inside sales representative,"Posted on March 11, 2024",Anixter/Wesco,"Saint-Laurent, QC","60,000 YEAR",,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40480208?source=searchresults
general labourer - manufacturing,"Posted on March 20, 2024",Codet inc.,"Coaticook, QC",17.65 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564323?source=searchresults
barista,"Posted on March 15, 2024",CAFÉ DÉPÔT,"Laval, QC",15.75 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40611062?source=searchresults
hotel cleaner,"Posted on March 22, 2024",LES INVESTISSEMENTS GENIMAX   LTEE,"Brossard, QC",17.00 HOUR,20 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40590120?source=searchresults
accounting bookkeeper,"Posted on March 21, 2024",Groupe Somr Inc.,"Laval, QC",24.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40582129?source=searchresults
senior accounting analyst,"Posted on March 08, 2024",Fed Finance,"Laval, QC","70,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40461180?source=searchresults
office cashier,"Posted on March 29, 2024",Sprint,"Saint-Philippe-de-Néri, QC",16.25 HOUR,,Permanent employmentPart time,Starts as soon as possible,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40659428?source=searchresults
photocopy machine technician,"Posted on March 15, 2024",Centre de services scolaire des Monts-et-Marées,"Matane, QC",24.36 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527970?source=searchresults
greens superintendent,"Posted on March 05, 2024",Ville de Lévis,"Lévis, QC",32.34 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40432810?source=searchresults
pharmacy technical assistant,"Posted on March 01, 2024",DDM PHARMA INC.,"Saint-Boniface, QC",16.00 HOUR,6 hours per week,Permanent employmentPart time leading to full time,,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40407275?source=searchresults
shop clerk,"Posted on March 27, 2024",Club Piscine Super Fitness (Laval/Blainville),"Blainville, QC",16.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40642694?source=searchresults
electrician,"Posted on March 28, 2024",Humakare,"Montréal-Nord, QC",30.00 HOUR,38.75 hours per week,Term or contractFull time,,10 vacancies,,,,,,4/28/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40648296?source=searchresults
daycare teacher,"Posted on March 20, 2024",Garderie Éducative Hakuna Ma-Ta-Ta inc.,"Montréal, QC",16.00 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40569997?source=searchresults
nursing services aide,"Posted on March 15, 2024",CISSS DE LA MONTÉRÉGIE-EST,"Saint-Hyacinthe, QC",26.66 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40525216?source=searchresults
child caregiver - private home,"Posted on March 14, 2024",Shirly Amsellem,"Cote-Saint-Luc, QC",15.25 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Secondary (high) school graduation certificate

or equivalent experience",7 months to less than 1 year,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Prepare infants and children for rest periods, Sterilize bottles, prepare formulas and change diapers for infants, Supervise and care for children, Take children to and from school and to appointments, Tend to emotional well-being of children, Help children with homework",,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40518690?source=searchresults
after-sales service technician - electrical appliances,"Posted on March 08, 2024",Servicelab,"Montréal, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40455536?source=searchresults
shop clerk,"Posted on March 20, 2024",MICHAEL ROSSY LTEE,"Shawinigan, QC",15.25 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568872?source=searchresults
early childhood educator (ECE),"Posted on March 21, 2024",Centre de la petite enfance Lafontaine,"Montréal, QC",21.60 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40582293?source=searchresults
stripping shovel operator,"Posted on March 11, 2024",PAVE-UNI MONTEREGIE INC.,"Granby, QC",26.50 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40481474?source=searchresults
early childhood educator (ECE),"Posted on March 25, 2024",LE CENTRE DE LA PETITE ENFANCE DE SAINT-LAMBERT,"Saint-Lambert, QC",18.52 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40613872?source=searchresults
"leasing representative, motor vehicles - retail","Posted on March 18, 2024",Force Kia,"Québec, QC",25.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40548864?source=searchresults
home health care worker,"Posted on March 05, 2024",Coopérative de solidarité de services à domicile du Royaume du Saguenay,"Chicoutimi, QC",21.76 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,20 vacancies,French,"No degree, certificate or diploma",7 months to less than 1 year,"Administer bedside and personal care, Administer medications, Assist clients with bathing and other aspects of personal hygiene, Feed or assist in feeding, Launder clothing and household linens, Mend clothing and linens, Perform light housekeeping and cleaning duties, Provide companionship, Provide personal care, Shop for food and household supplies, Prepare and serve nutritious meals","As per collective agreement, Mileage paid",4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40428714?source=searchresults
"manager, mill","Posted on March 17, 2024",Teamco,"Warwick, QC","80,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40539046?source=searchresults
retail salesperson,"Posted on March 25, 2024",Connect6 Group Inc.,"Montréal, QC",18.50 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English or French,Secondary (high) school graduation certificate,Will train,,"Dental plan, Health care plan, Paramedical services coverage, Vision care benefits",4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40615257?source=searchresults
welder-assembler,"Posted on March 13, 2024",Atomic Soudure Inc,"Outremont, QC",23.00 HOUR,40 hours per week,Term or contract (ending: 2026-04-15)Full time,,1 vacancy,French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Read and interpret welding blueprints, drawings specifications, manuals and processes, Fit and weld parts together",Free parking available,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40500986?source=searchresults
construction estimator,"Posted on March 08, 2024",LES ENTREPRISES JACQUES DUFOUR &amp; FILS INC.,"Baie-Saint-Paul, QC",35.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40457687?source=searchresults
welder-assembler,"Posted on March 10, 2024",Gestion industrielle Maintenance Man Inc.,"Blainville, QC",25.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40472309?source=searchresults
community counsellor - social services,"Posted on March 19, 2024",ASSOCIATION COOPERATIVE       D'ECON. FAM. REGION LANAUDIERE,"Joliette, QC",26.25 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40557918?source=searchresults
machine operator - food and beverage processing,"Posted on March 15, 2024",Fromages la Chaudière Inc,"Lac-Mégantic, QC",18.77 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,12 vacancies,French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Operate machinery to process and bag, box or otherwise package food products, Perform corrective machine adjustments, Clean machines and immediate work areas, Set up and adjust processing and packaging machines",,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40524124?source=searchresults
building caretaker,"Posted on February 20, 2024",Cedhar Gestion inc,"Rawdon, QC",17.75 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,"Secondary (high) school graduation certificate

or equivalent experience",2 years to less than 3 years,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40327147?source=searchresults
tree pruner - landscaping,"Posted on February 23, 2024",les Jardins de la Passion inc.,"Sainte-Marie, QC",20.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,French,Other trades certificate or diploma,1 to less than 7 months,"Weed, prune and trim trees and plants","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Life insurance, Long-term care insurance, Free parking available, Team building opportunities",4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40354952?source=searchresults
organization and productivity project officer,"Posted on March 13, 2024",Rotoplast inc.,"East Farnham, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40497193?source=searchresults
"analyst, computer","Posted on March 25, 2024",Collège de Maisonneuve,"Montréal, QC","39,062 YEAR",,Part time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40612539?source=searchresults
home health care worker,"Posted on March 26, 2024",Jean,"Montréal, , QC",31.14 HOUR,40 hours per week,Term or contractFull time,Starts as soon as possible,1 vacancy,English or French,College/CEGEP,5 years or more,"Administer bedside and personal care, Administer medications, Assist in regular exercise, e.g., walk, Change non-sterile dressings, Collect specimens, Provide companionship, Provide personal care","Dental plan, Health care plan, On-site housing options",4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40625169?source=searchresults
legal technician,"Posted on March 27, 2024","LAFRENIERE, BOURDAGES & BOUCHARD NOTAIRES INC.","Québec, QC",21.00 HOUR,30 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,5/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40643845?source=searchresults
sourcing specialist,"Posted on March 14, 2024",Amilia,"Montréal, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40517355?source=searchresults
industrial mechanic,"Posted on March 18, 2024",9358-2443 Québec inc,"Boisbriand, QC",35.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,French,Other trades certificate or diploma,5 years or more,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40551726?source=searchresults
assistant controller,"Posted on March 19, 2024",Fed Finance,"Longueuil, QC","80,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560006?source=searchresults
production clerks supervisor,"Posted on March 26, 2024",MaxSys - Québec,"Saint-Anselme, QC","65,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40627847?source=searchresults
office administrator,"Posted on January 08, 2024",ANWAR & ANWAR CONSULTING INC.,"Port-Cartier, QC",28.10 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",1 year to less than 2 years,"Review and evaluate new administrative procedures, Establish work priorities and ensure procedures are followed and deadlines are met, Carry out administrative activities of establishment, Assemble data and prepare periodic and special reports, manuals and correspondence, Oversee and co-ordinate office administrative procedures",,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39974377?source=searchresults
construction labourer,"Posted on March 27, 2024",Groupe 1139 inc.,"Drummondville, QC",19.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40638304?source=searchresults
psychoeducator,"Posted on March 25, 2024",Centre de services scolaire des Samares,"Joliette, QC",27.08 HOUR,,,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616577?source=searchresults
occupational health officer,"Posted on March 12, 2024",CONSEIL DE DIRECTION DE L'ARMÉE DU SALUT DU CANADA,"Montréal, QC",31.00 HOUR,40 hours per week,Term or contractFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40490680?source=searchresults
computer network technician,"Posted on March 25, 2024",Fed IT,"Montréal, QC","75,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40612614?source=searchresults
customer service clerk,"Posted on March 18, 2024",Société de développement de la Baie-James,"Québec, QC",20.56 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550544?source=searchresults
